year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate,edu_staff_total
2017,IL,ILLINOIS,12786196,55777,983,17731,31639,255108,43355,190860,20893,436.2282574113521,1995.1829300911704,7.687978504318251,138.67298765011893,247.44654313135825,0.0
2017,IN,INDIANA,6660082,26307,413,7035,16247,158932,29799,114395,14738,394.9951366965151,2386.336985040124,6.201124851015348,105.62933008932924,243.94594541028167,0.0
2017,KS,KANSAS,2910689,11654,134,1633,8383,79387,13102,58891,7394,400.38630028835104,2727.4298284701663,4.603720974655829,56.10355486278335,288.0074099294016,0.0
2017,KY,KENTUCKY,4453874,10292,265,2967,5243,95899,20535,65006,10358,231.07972969150003,2153.159249677921,5.949876444641227,66.6161638160397,117.71774414812812,0.0
2017,LA,LOUISIANA,4670818,25986,576,5385,18175,157272,34135,112042,11095,556.3479459058349,3367.1189928616354,12.331887048478446,115.29029818759795,389.1181373369718,0.0
2017,MA,MASSACHUSETTS,6863246,24318,172,4874,17073,97977,16916,73573,7488,354.3221385332829,1427.5606615295444,2.506102797422677,71.01595950371005,248.7598433744033,0.0
2017,MD,MARYLAND,6024891,30321,558,11189,16862,134705,23526,97657,13522,503.2622166940447,2235.808083498938,9.261578342247187,185.71290335377023,279.8722831666166,0.0
2017,ME,MAINE,1335063,1610,23,249,868,20142,3337,16012,793,120.59356000428444,1508.692848202669,1.722765142918349,18.65080524289865,65.01565843709248,0.0
2017,MI,MICHIGAN,9976447,44883,569,6508,30696,179839,35833,124410,19596,449.8896250338422,1802.6357479772107,5.703433296443112,65.23364480360593,307.68468974976764,0.0
2017,MN,MINNESOTA,5568155,13345,114,3627,7199,122430,18828,93602,10000,239.66646043438087,2198.7534470574183,2.047356799514381,65.13827291086545,129.28878596231607,0.0
2017,MO,MISSOURI,6108612,32450,599,6362,22752,173380,30086,123356,19938,531.2172388752142,2838.287977694442,9.80582823070118,104.1480454152269,372.45776945728426,0.0
2017,MS,MISSISSIPPI,2989663,7661,190,2492,4321,82764,22449,55968,4347,256.2496174317975,2768.338772630895,6.355231342127858,83.35387633990855,144.53134015439198,0.0
2017,MT,MONTANA,1053090,3937,41,234,3023,27294,3623,21073,2598,373.8521873723993,2591.8012705466767,3.893304465905098,22.220323049312025,287.05998537636856,0.0
2017,NC,NORTH CAROLINA,10270800,38043,622,9884,25593,265483,65247,184119,16117,370.39957939011566,2584.8327296802586,6.05600342719165,96.23398372083966,249.18214744713168,0.0
2017,ND,NORTH DAKOTA,755176,2133,10,183,1534,16653,2947,11944,1762,282.4507134760638,2205.181308728032,1.324194624829179,24.232761634373976,203.1314554487961,0.0
2017,NE,NEBRASKA,1917575,5979,42,1020,3726,43856,6513,32064,5279,311.80005997157866,2287.05526511349,2.190266352033167,53.1921828350912,194.30791494465663,0.0
2017,NH,NEW HAMPSHIRE,1349767,2642,13,441,1569,18550,2554,15087,909,195.7374865439739,1374.3112700191955,0.9631291919271991,32.6723056646073,116.2422847795212,0.0
2017,NJ,NEW JERSEY,8888543,20604,324,7895,10880,140086,23891,104025,12170,231.80402007393116,1576.0288272217392,3.64514184158191,88.82220629410241,122.40476307534315,0.0
2017,NM,NEW MEXICO,2093395,16300,144,3732,11180,81865,17872,52284,11709,778.6394827540909,3910.633205868936,6.878778252551477,178.27500304529246,534.0607004411495,0.0
2017,NV,NEVADA,2972405,16663,266,4841,9660,78320,20049,45459,12812,560.5898254107365,2634.9033863151217,8.948982389681083,162.864750934008,324.98936046736566,0.0
2017,NY,NEW YORK,19590719,70746,550,20122,43777,293390,34928,245093,13369,361.1199772708699,1497.5968977963494,2.8074518347182664,102.71190148763812,223.4578526699301,0.0
2017,OH,OHIO,11664129,34621,741,11224,16823,280557,57521,202320,20716,296.81599028954497,2405.297472275898,6.352810398444667,96.2266449556585,144.22851461947994,0.0
2017,OK,OKLAHOMA,3932640,17989,243,3007,12519,113611,28749,72546,12316,457.42808901908137,2888.924488384393,6.17905529110216,76.46263070100493,318.3357744415965,0.0
2017,OR,OREGON,4146592,11629,105,2474,7058,122524,17415,88091,17018,280.4471720391107,2954.8120480626017,2.5321999367191177,59.66345374707712,170.21206812727175,0.0
2017,PA,PENNSYLVANIA,12790447,40030,742,11777,23295,210316,31925,165434,12957,312.96795178464055,1644.320952973731,5.801204602153467,92.07653180533876,182.12811483445415,0.0
2017,RI,RHODE ISLAND,1056486,2474,21,474,1525,18585,3219,13882,1484,234.17253044526856,1759.1335805680342,1.98772155996388,44.865715210613295,144.34644661642463,0.0
2017,SC,SOUTH CAROLINA,5021219,25412,380,3884,18572,160368,31165,114931,14272,506.09224572758126,3193.80612556433,7.5678834163576605,77.35173470824515,369.8703442331434,0.0
2017,SD,SOUTH DAKOTA,873286,3753,27,264,2887,16588,2835,12285,1468,429.7561165528819,1899.4922625577417,3.091770622682603,30.23064608845212,330.59043658091394,0.0
2017,TN,TENNESSEE,6708794,43940,538,7867,32507,198028,38819,140636,18573,654.961234463303,2951.76748607872,8.019325082868844,117.26399707607656,484.54312354798793,0.0
2017,TX,TEXAS,28322717,123984,1405,32120,75923,723143,133458,521767,67918,437.7546123135008,2553.2260905618623,4.960682267877054,113.40719889267686,268.06397140500326,0.0
2017,UT,UTAH,3103118,7515,74,1498,4185,86201,11780,64955,9466,242.1757728839187,2777.883406302951,2.384698229329339,48.27402631804527,134.86435256409845,0.0
2017,VA,VIRGINIA,8465207,17811,470,4331,9984,152515,18524,123812,10179,210.4024154400477,1801.6688782684223,5.552138299748606,51.16236377917279,117.94159315891508,0.0
2017,VT,VERMONT,624525,1082,17,100,711,9339,1945,7169,225,173.25167127016533,1495.3764861294585,2.722068772266923,16.012169248628958,113.84652335775188,0.0
2017,WA,WASHINGTON,7425432,22483,226,5386,13571,235206,43687,162154,29365,302.78373029340247,3167.573280584887,3.043593961940531,72.53450034960929,182.7637772455529,0.0
2017,WI,WISCONSIN,5792051,18638,192,4370,11899,104908,17570,77868,9470,321.78584062882044,1811.2409576504076,3.31488793865938,75.44823068719526,205.43672699014564,0.0
2017,WV,WEST VIRGINIA,1817048,6564,98,673,5000,32560,7557,21917,3086,361.2452725519634,1791.9174397154063,5.393363301354725,37.03809695726255,275.1715970078941,0.0
2017,WY,WYOMING,578934,1358,14,98,993,10528,1556,8211,761,234.56905277630955,1818.514718430771,2.418237657487728,16.927663602414093,171.5221424203795,0.0
2019,AK,ALASKA,733603,6346,69,826,4349,21293,3558,15118,2617,865.0455355280718,2902.523572013746,9.405632201613134,112.594959399021,592.827455721964,0.0
2019,AL,ALABAMA,4907965,24769,390,3922,18338,128726,24805,91225,12696,504.66945057676656,2622.797839837896,7.946266935481407,79.91092031014891,373.6375463150206,0.0
2019,AR,ARKANSAS,3020985,17547,237,1576,13314,86029,17706,60843,7480,580.8370448711264,2847.713576863175,7.845123362082235,52.16841526852996,440.7171833027969,0.0
2019,AZ,ARIZONA,7291843,32603,397,6305,22251,177628,29170,130427,18031,447.1160445994244,2435.9822338467798,5.444439766462334,86.46648042202774,305.14919204925286,0.0
2019,CA,CALIFORNIA,39437610,174341,1690,52306,105544,921177,152551,626865,141761,442.0678636458954,2335.783025391245,4.285249537180372,132.62974100103935,267.62270837406226,0.0
2019,CO,COLORADO,5758486,22149,229,3716,14117,150564,20266,108575,21723,384.6323495446546,2614.6455856626203,3.976739719433199,64.53085064372823,245.15124287877055,0.0
2019,CT,CONNECTICUT,3566022,6583,107,1942,3737,51076,6468,38616,5992,184.60346010204088,1432.2962673814127,3.000542341017526,54.45844136687883,104.79464232133172,0.0
2019,DC,DISTRICT OF COLUMBIA,708253,7403,166,2714,4178,30819,1843,26643,2333,1045.247955179858,4351.41114827611,23.43795225717364,383.1964001564413,589.9021959666956,0.0
2019,DE,DELAWARE,976668,4128,47,789,2963,21932,2984,17343,1605,422.6615390286156,2245.594203966957,4.812280119754103,80.78487264863801,303.3784254219448,0.0
2019,FL,FLORIDA,21492056,81291,1122,16234,55472,460966,63338,358537,39091,378.2374287504183,2144.820393172249,5.220533577615841,75.53488600625272,258.1046689995597,0.0
2019,GA,GEORGIA,10628020,34666,605,7488,23568,294817,37476,234850,22491,326.1755246979212,2773.9597780207414,5.692499637750023,70.45526824375565,221.753440433872,0.0
